Word 1,Word 2,Risultati
love,sex,40
tiger,cat,40
tiger,tiger,40
book,paper,39
computer,keyboard,37
computer,internet,33
plane,car,32
train,car,33
telephone,communication,34
television,radio,38
media,radio,40
drug,abuse,38
bread,butter,38
cucumber,potato,36
doctor,nurse,38
professor,doctor,34
student,professor,33
smart,student,35
smart,stupid,40
company,stock,37
stock,market,39
stock,phone,36
stock,CD,40
stock,jaguar,35
stock,egg,38
fertility,egg,33
stock,live,40
stock,life,36
book,library,36
bank,money,33
wood,forest,40
money,cash,38
professor,cucumber,28
king,cabbage,38
king,queen,40
king,rook,38
bishop,rabbi,36
Jerusalem,Israel,40
Jerusalem,Palestinian,40
holy,sex,37
fuck,sex,40
Maradona,football,0
football,soccer,40
football,basketball,35
football,tennis,35
tennis,racket,32
Arafat,peace,35
Arafat,terror,36
Arafat,Jackson,40
law,lawyer,30
movie,star,34
movie,popcorn,26
movie,critic,30
movie,theater,34
physics,proton,26
physics,chemistry,38
space,chemistry,34
alcohol,chemistry,35
vodka,gin,38
vodka,brandy,38
drink,car,31
drink,ear,32
drink,mouth,38
drink,eat,38
baby,mother,36
drink,mother,38
car,automobile,40
gem,jewel,40
journey,voyage,40
boy,lad,40
coast,shore,40
asylum,madhouse,40
magician,wizard,40
midday,noon,40
furnace,stove,28
food,fruit,36
bird,cock,40
bird,crane,40
tool,implement,40
brother,monk,40
crane,implement,39
lad,brother,34
journey,car,31
monk,oracle,33
cemetery,woodland,32
food,rooster,25
coast,hill,38
forest,graveyard,32
shore,woodland,36
monk,slave,39
coast,forest,35
lad,wizard,36
chord,smile,35
glass,magician,34
noon,string,30
rooster,voyage,25
money,dollar,36
money,cash,38
money,currency,40
money,wealth,40
money,property,40
money,possession,40
money,bank,33
money,deposit,40
money,withdrawal,28
money,laundering,32
money,operation,31
tiger,jaguar,38
tiger,feline,40
tiger,carnivore,40
tiger,mammal,40
tiger,animal,40
tiger,organism,40
tiger,fauna,40
tiger,zoo,33
psychology,psychiatry,34
psychology,anxiety,28
psychology,fear,32
psychology,depression,32
psychology,clinic,27
psychology,doctor,31
psychology,Freud,32
psychology,mind,34
psychology,health,27
psychology,science,40
psychology,discipline,40
psychology,cognition,40
planet,star,38
planet,constellation,37
planet,moon,37
planet,sun,37
planet,galaxy,33
planet,space,34
planet,astronomer,35
precedent,example,40
precedent,information,40
precedent,cognition,40
precedent,law,40
precedent,collection,40
precedent,group,40
precedent,antecedent,40
cup,coffee,35
cup,tableware,40
cup,article,40
cup,artifact,40
cup,object,40
cup,entity,40
cup,drink,40
cup,food,40
cup,substance,40
cup,liquid,40
jaguar,cat,40
jaguar,car,22
energy,secretary,30
secretary,senate,27
energy,laboratory,30
computer,laboratory,30
weapon,secret,33
FBI,fingerprint,29
FBI,investigation,24
investigation,effort,37
Mars,water,38
Mars,scientist,36
news,report,40
canyon,landscape,31
image,surface,37
discovery,space,34
water,seepage,30
sign,recess,39
Wednesday,news,29
mile,kilometer,37
computer,news,30
territory,surface,35
atmosphere,landscape,34
president,medal,28
war,troops,36
record,number,40
skin,eye,37
Japanese,American,40
theater,history,31
volunteer,motto,34
prejudice,recognition,35
decoration,valor,29
century,year,38
century,nation,35
delay,racism,34
delay,news,34
minister,party,37
peace,plan,34
minority,peace,35
attempt,peace,34
government,crisis,34
deployment,departure,36
deployment,withdrawal,36
energy,crisis,34
announcement,news,36
announcement,effort,31
stroke,hospital,32
disability,death,33
victim,emergency,31
treatment,recovery,35
journal,association,32
doctor,personnel,34
doctor,liability,34
liability,insurance,34
school,center,38
reason,hypertension,32
reason,criterion,35
hundred,percent,33
Harvard,Yale,40
hospital,infrastructure,29
death,row,36
death,inmate,34
lawyer,evidence,30
life,death,38
life,term,40
word,similarity,35
board,recommendation,34
governor,interview,29
OPEC,country,34
peace,atmosphere,36
peace,insurance,37
territory,kilometer,28
travel,activity,37
competition,price,36
consumer,confidence,29
consumer,energy,31
problem,airport,27
car,flight,31
credit,card,36
credit,information,37
hotel,reservation,30
grocery,money,27
registration,arrangement,34
arrangement,accommodation,34
month,hotel,29
type,kind,40
arrival,hotel,31
bed,closet,37
closet,clothes,33
situation,conclusion,34
situation,isolation,37
impartiality,interest,34
direction,combination,34
street,place,34
street,avenue,40
street,block,35
street,children,30
listing,proximity,31
listing,category,35
cell,phone,40
production,hike,34
benchmark,index,37
media,trading,36
media,gain,36
dividend,payment,40
dividend,calculation,28
calculation,computation,40
currency,market,33
OPEC,oil,32
oil,stock,39
announcement,production,34
announcement,warning,35
profit,warning,39
profit,loss,35
dollar,yen,37
dollar,buck,40
dollar,profit,34
dollar,loss,31
computer,software,28
network,hardware,36
phone,equipment,40
equipment,maker,34
luxury,car,26
five,month,36
report,gain,39
investor,earning,34
liquid,water,40
baseball,season,31
game,victory,34
game,team,36
marathon,sprint,37
game,series,38
game,defeat,40
seven,series,37
seafood,sea,33
seafood,food,40
seafood,lobster,40
lobster,food,40
lobster,wine,31
food,preparation,34
video,archive,32
start,year,35
start,match,39
game,round,40
boxing,round,39
championship,tournament,38
fighting,defeating,40
line,insurance,33
day,summer,39
summer,drought,37
summer,nature,36
day,dawn,40
nature,environment,35
environment,ecology,40
nature,man,37
man,woman,38
man,governor,35
murder,manslaughter,38
soap,opera,35
opera,performance,37
life,lesson,31
focus,life,35
production,crew,31
television,film,36
lover,quarrel,30
viewer,serial,35
possibility,girl,30
population,development,34
morality,importance,36
morality,marriage,33
Mexico,Brazil,40
gender,equality,33
change,attitude,36
family,planning,35
opera,industry,34
sugar,approach,36
practice,institution,40
ministry,culture,33
problem,challenge,35
size,prominence,35
country,citizen,31
planet,people,33
development,issue,37
experience,music,36
music,project,37
glass,metal,39
aluminum,metal,40
chance,credibility,36
exhibit,memorabilia,33
concert,virtuoso,37
rock,jazz,38
museum,theater,34
observation,architecture,35
space,world,38
preservation,world,36
admission,ticket,34
shower,thunderstorm,34
shower,flood,36
weather,forecast,38
disaster,area,32
governor,office,31
architecture,century,30
